title,artist,genre,tracklist
Pompeii,Pink Floyd,Rock,"$index[1] Pompeii (Main Title) $side[A1]
$index[2] Echos (Part 1) $side[A2]
$index[3] On The Run $side[A3]
$index[4] Careful With That Axe, Eugene $side[B1]
$index[5] A Saucerful Of Secrets $side[B2]
$index[6] One Of This Days I'm Going To Cut You Into Little Pieces $side[C1]
$index[7] Set The Control Of The Heart Of The Sun $side[C2]
$index[8] Brain Damage $side[C3]
$index[9] Us And Theme $side[D1]
$index[10] Mademoiselle Knobs $side[D2]
$index[11] Echos (Part 2) $side[D3]
"
On A Plain,Nirvana,Rock,"$index[1] On A Plain (LP Version) $side[1] $dur[3:12]
"
Gold (Greatest Hits),ABBA,Electronic,"$index[1] Dancing Queen $side[A1] $dur[3:49]
$index[2] Knowing Me, Knowing You $side[A2] $dur[4:01]
$index[3] Take A Chance On Me $side[A3] $dur[4:01]
$index[4] Mamma Mia $side[A4] $dur[3:32]
$index[5] Lay All Your Love On Me $side[A5] $dur[4:32]
$index[6] Super Trouper $side[B1] $dur[4:10]
$index[7] I Have A Dream $side[B2] $dur[4:43]
$index[8] The Winner Takes It All $side[B3] $dur[4:54]
$index[9] Money, Money, Money $side[B4] $dur[3:05]
$index[10] S.O.S. $side[B5] $dur[3:19]
$index[11] Chiquitita $side[C1] $dur[5:26]
$index[12] Fernando $side[C2] $dur[4:10]
$index[13] Voulez Vous $side[C3] $dur[5:05]
$index[14] Gimme! Gimme! Gimme! (A Man After Midnight) $side[C4] $dur[4:46]
$index[15] Does Your Mother Know $side[D1] $dur[3:14]
$index[16] One Of Us $side[D2] $dur[3:53]
$index[17] The Name Of The Game $side[D3] $dur[4:50]
$index[18] Thank You For The Music $side[D4] $dur[3:51]
$index[19] Waterloo $side[D5] $dur[2:42]
"
Greatest Hits,Queen,Rock,"$index[1] Bohemian Rhapsody $side[A1] $dur[5:54]
$index[2] Another One Bites The Dust $side[A2] $dur[3:36]
$index[3] Killer Queen $side[A3] $dur[2:59]
$index[4] Fat Bottomed Girls $side[A4] $dur[3:21]
$index[5] Bicycle Race $side[B1] $dur[3:02]
$index[6] You're My Best Friend $side[B2] $dur[2:51]
$index[7] Don't Stop Me Now $side[B3] $dur[3:29]
$index[8] Save Me $side[B4] $dur[3:48]
$index[9] Crazy Little Thing Called Love $side[C1] $dur[2:43]
$index[10] Somebody To Love $side[C2] $dur[4:55]
$index[11] Now I'm Here $side[C3] $dur[4:13]
$index[12] Good Old-Fashioned Lover Boy $side[C4] $dur[2:54]
$index[13] Play The Game $side[D1] $dur[3:31]
$index[14] Flash $side[D2] $dur[2:47]
$index[15] Seven Seas Of Rhye $side[D3] $dur[2:48]
$index[16] We Will Rock You $side[D4] $dur[2:01]
$index[17] We Are The Champions $side[D5] $dur[2:59]
"
Solar Fire,No Album,Rock,"$index[1] Father Of Day, Father Of Night $side[A1] $dur[9:57]
$index[2] In The Beginning, Darkness $side[A2] $dur[5:25]
$index[3] Pluto The Dog $side[A3] $dur[2:50]
$index[4] Solar Fire $side[B1] $dur[5:18]
$index[5] Saturn, Lord Of The Ring / Mercury, The Winged Messenger $side[B2] $dur[6:36]
$index[6] Earth: The Circle Part Two $side[B3] $dur[3:52]
$index[7] Earth: The Circle Part One $side[B4] $dur[3:16]
"
Falco60,Falco,Rock,"$index[1] Ganz Wien $side[1-A1] $dur[5:06]
$index[2] Der Kommissar $side[1-A2] $dur[3:52]
$index[3] Maschine Brennt $side[1-A3] $dur[3:36]
$index[4] Junge Roemer $side[1-A4] $dur[4:30]
$index[5] Hoch Wie Nie $side[1-A5] $dur[4:21]
$index[6] Rock Me Amadeus $side[1-B1] $dur[3:22]
$index[7] Vienna Calling $side[1-B2] $dur[4:08]
$index[8] Jeanny $side[1-B3] $dur[5:53]
$index[9] Männer Des Westens - Any Kind Of Land $side[1-B4] $dur[4:00]
$index[10] The Sound Of Musik $side[1-B5] $dur[4:57]
$index[11] Emotional $side[2-A1] $dur[4:53]
$index[12] Coming Home (Jeanny Part 2, Ein Jahr Danach) $side[2-A2] $dur[5:28]
$index[13] Body Next To Body  $side[2-A3] $dur[4:18]
$index[14] Wiener Blut $side[2-A4] $dur[3:31]
$index[15] Data De Groove $side[2-A5] $dur[4:41]
$index[16] Titanic $side[2-B1] $dur[3:36]
$index[17] Monarchy Now $side[2-B2] $dur[4:12]
$index[18] Nachtflug $side[2-B3] $dur[3:15]
$index[19] Out Of The Dark $side[2-B4] $dur[3:36]
$index[20] Egoist (Remix) $side[2-B5] $dur[3:39]
"
The Best Of 25 Years,Sting,Rock,"$index[1] If You Love Somebody Set Them Free $side[A1]
$index[2] Englishman In New York $side[A2]
$index[3] We'll Be Together $side[A3]
$index[4] Fragile $side[A4]
$index[5] All This Time $side[B1]
$index[6] If I Ever Lose My Faith In You $side[B2]
$index[7] Fields Of Gold $side[B3]
$index[8] Desert Rose $side[C1]
$index[9] Whenever I Say Your Name $side[C2]
$index[10] Never Coming Home $side[C3]
$index[11] Message In A Bottle (Live) $side[D1]
$index[12] Demolition Man (Live) $side[D2]
$index[13] Heavy Cloud No Rain (Live) $side[D3]
"
1962-1966,The Beatles,Rock,"$index[1] Love Me Do $side[A1] $dur[2:18]
$index[2] Please Please Me $side[A2] $dur[1:58]
$index[3] From Me To You $side[A3] $dur[1:56]
$index[4] She Loves You $side[A4] $dur[2:19]
$index[5] I Want To Hold Your Hand $side[A5] $dur[2:23]
$index[6] All My Loving $side[A6] $dur[2:04]
$index[7] Can't Buy Me Love $side[A7] $dur[2:10]
$index[8] A Hard Day's Night $side[B1] $dur[2:29]
$index[9] And I Love Her $side[B2] $dur[2:28]
$index[10] Eight Days A Week $side[B3] $dur[2:42]
$index[11] I Feel Fine $side[B4] $dur[2:20]
$index[12] Ticket To Ride $side[B5] $dur[3:03]
$index[13] Yesterday $side[B6] $dur[2:04]
$index[14] Help! $side[C1] $dur[2:33]
$index[15] You've Got To Hide Your Love Away $side[C2] $dur[2:06]
$index[16] We Can Work It Out $side[C3] $dur[2:12]
$index[17] Day Tripper $side[C4] $dur[2:48]
$index[18] Drive My Car $side[C5] $dur[2:27]
$index[19] Norwegian Wood (This Bird Has Flown) $side[C6] $dur[2:02]
$index[20] Nowhere Man $side[D1] $dur[2:40]
$index[21] Michelle $side[D2] $dur[2:41]
$index[22] In My Life $side[D3] $dur[2:22]
$index[23] Girl $side[D4] $dur[2:27]
$index[24] Paperback Writer $side[D5] $dur[2:15]
$index[25] Eleanor Rigby $side[D6] $dur[2:03]
$index[26] Yellow Submarine $side[D7] $dur[2:46]
"
1967-1970,The Beatles,Rock,"$index[1] Strawberry Fields Forever $side[A1] $dur[4:04]
$index[2] Penny Lane $side[A2] $dur[2:58]
$index[3] Sgt. Pepper's Lonely Hearts Club Band $side[A3] $dur[2:00]
$index[4] With A Little Help From My Friends $side[A4] $dur[2:46]
$index[5] Lucy In The Sky With Diamonds $side[A5] $dur[3:25]
$index[6] A Day In The Life $side[A6] $dur[4:57]
$index[7] All You Need Is Love $side[A7] $dur[3:45]
$index[8] I Am The Walrus $side[B1] $dur[4:31]
$index[9] Hello Goodbye $side[B2] $dur[3:23]
$index[10] The Fool On The Hill $side[B3] $dur[2:55]
$index[11] Magical Mystery Tour $side[B4] $dur[2:46]
$index[12] Lady Madonna $side[B5] $dur[2:14]
$index[13] Hey Jude $side[B6] $dur[6:54]
$index[14] Revolution $side[B7] $dur[3:22]
$index[15] Back In The U.S.S.R. $side[C1] $dur[2:42]
$index[16] While My Guitar Gently Weeps $side[C2] $dur[4:50]
$index[17] Ob-La-Di, Ob-La-Da $side[C3] $dur[3:08]
$index[18] Get Back $side[C4] $dur[3:09]
$index[19] Don't Let Me Down $side[C5] $dur[3:37]
$index[20] The Ballad Of John & Yoko $side[C6] $dur[2:58]
$index[21] Old Brown Shoe $side[C7] $dur[3:16]
$index[22] Here Comes The Sun $side[D1] $dur[3:04]
$index[23] Come Together $side[D2] $dur[4:16]
$index[24] Something $side[D3] $dur[2:59]
$index[25] Octopus's Garden $side[D4] $dur[2:48]
$index[26] Let It Be $side[D5] $dur[4:01]
$index[27] Across The Universe $side[D6] $dur[3:44]
$index[28] The Long And Winding Road $side[D7] $dur[3:40]
"
Abbey Road,The Beatles,Rock,"$index[1] Come Together $side[A1]
$index[2] Something $side[A2]
$index[3] Maxwell's Silver Hammer $side[A3]
$index[4] Oh! Darling $side[A4]
$index[5] Octopus's Garden $side[A5]
$index[6] I Want You (She's So Heavy) $side[A6]
$index[7] Here Comes The Sun $side[B1]
$index[8] Because $side[B2]
$index[9] You Never Give Me Your Money $side[B3]
$index[10] Sun King $side[B4]
$index[11] Mean Mr. Mustard $side[B5]
$index[12] Polythene Pam $side[B6]
$index[13] She Came In Through The Bathroom Window $side[B7]
$index[14] Golden Slumbers $side[B8]
$index[15] Carry That Weight $side[B9]
$index[16] The End $side[B10]
$index[17] Her Majesty $side[B11]
"
